iter	Passed	Remaining
469	730	824
470	732	822
471	733	820
472	735	818
473	736	816
474	737	814
475	738	812
476	739	810
477	740	808
478	741	806
479	742	804
480	743	802
481	745	801
482	747	799
483	748	797
484	748	795
485	749	792
486	750	790
487	752	789
488	753	787
489	754	785
490	755	783
491	756	781
492	758	779
493	759	778
494	761	776
495	762	774
496	763	772
497	765	771
498	766	769
499	767	767
500	768	765
501	769	763
502	770	761
503	771	759
504	772	757
505	773	755
506	775	754
507	777	752
508	778	750
509	779	748
510	780	747
511	781	745
512	783	743
513	784	741
514	785	739
515	787	738
516	788	736
517	789	734
518	791	734
519	793	732
520	794	730
521	795	728
522	797	726
523	798	725
524	799	723
525	801	722
526	802	720
527	804	718
528	805	717
529	807	716
530	810	715
531	811	714
532	812	712
533	814	710
534	815	708
535	816	706
536	817	705
537	818	703
538	821	702
539	822	700
540	824	699
541	825	697
542	826	695
543	827	693
544	828	691
545	829	689
546	830	688
547	831	686
548	832	684
549	833	682
550	834	680
551	836	678
552	838	677
553	839	675
554	840	673
555	840	671
556	841	669
557	842	667
558	843	665
559	844	663
560	845	661
561	847	660
562	848	658
563	849	657
564	851	655
565	852	653
566	853	651
567	854	649
568	855	647
569	856	645
570	857	644
571	858	642
572	860	641
573	861	639
574	863	637
575	864	636
576	866	634
577	867	633
578	868	631
579	869	629
580	870	627
581	871	625
582	871	623
583	872	621
584	873	619
585	874	617
586	875	615
587	876	613
588	877	612
589	877	610
590	878	608
591	879	606
592	880	604
593	881	602
594	882	600
595	883	598
596	884	596
597	884	594
598	885	593
599	886	591
600	887	589
601	888	587
602	889	585
603	889	583
604	890	581
605	892	579
606	892	578
607	893	576
608	894	574
609	896	573
610	897	571
611	898	569
612	900	568
613	901	566
614	902	564
615	903	563
616	904	561
617	904	559
618	905	557
619	906	555
620	907	553
621	908	552
622	909	550
623	910	548
624	911	546
625	912	545
626	913	543
627	914	541
628	915	539
629	916	538
630	916	536
631	917	534
632	918	532
633	919	530
634	920	529
635	921	527
636	921	525
637	922	523
638	923	521
639	924	520
640	925	518
641	926	516
642	927	515
643	928	513
644	929	511
645	929	509
646	930	507
647	931	505
648	932	504
649	933	502
650	933	500
651	934	498
652	935	497
653	936	495
654	937	493
655	937	491
656	938	490
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	944	480
663	945	478
664	946	476
665	947	475
666	948	473
667	949	471
668	950	470
669	950	468
670	951	466
671	952	464
672	953	463
673	954	461
674	955	460
675	956	458
676	957	456
677	958	455
678	959	453
679	959	451
680	960	450
681	962	448
682	963	447
683	964	445
684	964	443
685	965	442
686	966	440
687	967	438
688	968	436
689	969	435
690	970	433
691	971	432
692	972	430
693	973	429
694	974	427
695	976	426
696	977	424
697	977	423
698	978	421
699	979	419
700	980	418
701	981	416
702	983	415
703	984	414
704	986	412
705	987	411
706	988	409
707	990	408
708	991	406
709	992	405
710	993	403
711	994	402
712	996	400
713	997	399
714	998	398
715	999	396
716	1000	395
717	1002	393
718	1003	392
719	1003	390
720	1004	388
721	1006	387
722	1008	386
723	1009	384
724	1010	383
725	1010	381
726	1011	379
727	1012	378
728	1013	376
729	1015	375
730	1016	373
731	1017	372
732	1018	370
733	1018	369
734	1020	367
735	1021	366
736	1022	365
737	1024	363
738	1025	362
739	1025	360
740	1026	358
741	1027	357
742	1028	355
743	1029	354
744	1030	352
745	1031	351
746	1032	349
747	1033	348
748	1034	346
749	1035	345
750	1036	343
751	1037	342
752	1038	340
753	1039	339
754	1039	337
755	1040	335
756	1041	334
757	1042	332
758	1043	331
759	1043	329
760	1045	328
761	1046	326
762	1047	325
763	1048	323
764	1048	322
765	1049	320
766	1050	319
767	1051	317
768	1052	316
769	1052	314
770	1053	312
771	1054	311
772	1055	309
773	1056	308
774	1056	306
775	1057	305
776	1058	303
777	1059	302
778	1060	300
779	1062	299
780	1063	298
781	1063	296
782	1064	295
783	1065	293
784	1066	292
785	1067	290
786	1068	289
787	1069	287
788	1070	286
789	1071	284
790	1072	283
791	1073	281
792	1073	280
793	1074	278
794	1076	277
795	1076	275
796	1077	274
797	1078	273
798	1080	271
799	1080	270
800	1081	268
801	1082	267
802	1083	265
803	1084	264
804	1085	262
805	1086	261
806	1087	260
807	1088	258
808	1089	257
809	1090	255
810	1091	254
811	1093	253
812	1094	251
813	1094	250
814	1095	248
815	1096	247
816	1097	245
817	1098	244
818	1099	242
